DBMS-duration;JavaSystem-Duration;DBMS-cpuDurationUser;JavaCPU-Duration
0.00528575;-490312827011963;0.1875;0
0.00528775;-490312841677483;0.1875;0
0.00529;-490312854716830;0.203125;15625000
0.00545325;-490312867029510;0.203125;15625000
0.0053635;-490312880267562;0.203125;0
0.0053765;-490312894267997;0.203125;0
0.005345;-490312934494513;0.203125;0
0.005115;-490312947048595;0.203125;15625000
0.0054305;-490312960303889;0.203125;0
0.005181;-490312974756747;0.21875;0
0.00514875;-490312987028783;0.21875;0
0.005162;-490313000883882;0.21875;15625000
0.0054815;-490313020601992;0.21875;0
0.0052865;-490313037202825;0.21875;0
0.00588575;-490313050644917;0.234375;0
0.00515475;-490313064020912;0.234375;0
0.00512075;-490313077160844;0.234375;0
0.005115;-490313090182537;0.234375;15625000
0.005208;-490313103309331;0.234375;15625000
0.005218;-490313116180765;0.25;15625000
0.0052965;-490313129479988;0.25;0
0.00529275;-490313142538221;0.25;0
0.00526275;-490313157284207;0.25;0
0.005037;-490313170417159;0.25;0
0.00505125;-490313182879279;0.265625;15625000
0.008397;-490313225000873;0.28125;0
0.006108;-490313237809494;0.28125;0
0.00552875;-490313251194521;0.28125;0
0.00554325;-490313264028184;0.296875;0
0.0054605;-490313276268610;0.3125;0
0.0050835;-490313288403935;0.328125;0
0.00508275;-490313300328650;0.328125;0
0.005085;-490313314230554;0.328125;0
0.00517225;-490313328087299;0.328125;0
0.005082;-490313341036737;0.328125;0
0.00505625;-490313353926645;0.34375;0
0.00507575;-490313366694622;0.359375;0
0.00508725;-490313378671476;0.359375;0
0.0050425;-490313391180809;0.359375;0
0.005319;-490313403285753;0.359375;0
0.00590525;-490313415645237;0.375;15625000
0.00541975;-490313427647956;0.390625;0
0.00522575;-490313439947907;0.390625;0
0.005063;-490313456106585;0.390625;0
0.00504;-490313469990425;0.390625;0
0.00516075;-490313482903735;0.40625;0
0.00515875;-490313495002932;0.421875;0
0.00514;-490313507920758;0.421875;0
0.005081;-490313520038840;0.421875;0
0.00514525;-490313531905625;0.421875;0
