DBMS-duration;JavaSystem-Duration;DBMS-cpuDurationUser;JavaCPU-Duration
3.0;-490325326438457;0.0;0
3.0;-490325343874340;0.0;0
3.0;-490325354082563;0.0;0
3.0;-490325364714880;15.0;0
3.0;-490325375027381;0.0;0
3.0;-490325385414192;0.0;0
3.0;-490325396175831;0.0;0
3.0;-490325406540061;0.0;0
3.0;-490325416815614;0.0;0
3.0;-490325427249226;0.0;0
3.0;-490325437680787;0.0;15625000
3.0;-490325448317208;0.0;0
3.0;-490325458777097;15.0;0
3.0;-490325473177403;0.0;0
3.0;-490325483664387;0.0;0
3.0;-490325493907917;0.0;0
3.0;-490325503924415;0.0;0
3.0;-490325514263602;0.0;0
3.0;-490325524897561;0.0;0
3.0;-490325536377655;16.0;0
3.0;-490325547319113;0.0;0
3.0;-490325558016296;0.0;0
3.0;-490325568373547;15.0;0
3.0;-490325579011201;0.0;0
3.0;-490325589227224;0.0;0
3.0;-490325599731451;0.0;0
3.0;-490325610201192;0.0;0
3.0;-490325620495218;0.0;0
3.0;-490325630739570;16.0;0
3.0;-490325641202332;0.0;15625000
3.0;-490325651523454;0.0;0
3.0;-490325662330664;15.0;0
3.0;-490325672596363;0.0;0
3.0;-490325684849105;0.0;0
3.0;-490325694919384;16.0;0
3.0;-490325705148135;0.0;0
3.0;-490325715506206;0.0;0
3.0;-490325725826919;16.0;0
3.0;-490325738337072;0.0;0
3.0;-490325749832357;0.0;0
3.0;-490325761055039;0.0;0
3.0;-490325771290358;15.0;0
3.0;-490325781496939;0.0;0
3.0;-490325791663286;0.0;0
3.0;-490325801853855;16.0;0
3.0;-490325812052224;0.0;0
3.0;-490325822254289;0.0;0
3.0;-490325832318411;0.0;0
3.0;-490325842510623;0.0;0
3.0;-490325852755795;0.0;0
