DBMS-duration;JavaSystem-Duration;DBMS-cpuDurationUser;JavaCPU-Duration
0.0093995;-490309936564200;0.0;0
0.0093995;-490309955807307;0.0;15625000
0.0093995;-490309974581570;0.0;0
0.0093995;-490309993539756;0.0;0
0.0093995;-490310011800016;0.0;0
0.0093995;-490310027741512;0.0;0
0.0093995;-490310049832573;0.0;0
0.0093995;-490310064256282;0.0;0
0.0093995;-490310079307714;0.0;0
0.0093995;-490310093839396;0.0;0
0.0093995;-490310108545560;0.0;0
0.0093995;-490310124718604;0.0;0
0.0093995;-490310138718627;0.0;0
0.00667875;-490310155551828;0.0;0
0.006219;-490310174689413;0.0;0
0.005512;-490310200167901;0.015625;0
0.00538875;-490310214564103;0.015625;0
0.00539775;-490310233146230;0.015625;0
0.00531025;-490310246707381;0.015625;0
0.00528225;-490310260713153;0.015625;0
0.0052595;-490310274764907;0.03125;15625000
0.00518025;-490310289545789;0.046875;0
0.005196;-490310304014246;0.0625;0
0.0051735;-490310319247962;0.078125;0
0.00519175;-490310333219248;0.09375;0
0.005189;-490310352461938;0.109375;0
0.005367;-490310606879681;0.109375;0
0.0065915;-490310623313831;0.125;0
0.01713125;-490310642166508;0.15625;0
0.005292;-490310656292159;0.15625;0
0.005168;-490310670026971;0.15625;0
0.00532975;-490310684932661;0.171875;0
0.00531125;-490310699905268;0.171875;15625000
0.00535225;-490310713396626;0.171875;0
0.00520625;-490310728452985;0.171875;15625000
0.005418;-490310742216535;0.171875;15625000
0.00576775;-490310756186180;0.171875;0
0.00531975;-490310774205039;0.171875;0
0.00549475;-490310796656560;0.171875;0
0.0105065;-490310809351869;0.171875;0
0.00547775;-490310826207240;0.171875;0
0.00531475;-490310841414270;0.171875;0
0.00533275;-490310854146940;0.171875;15625000
0.0052345;-490310866675978;0.1875;0
0.00542575;-490310879350761;0.1875;0
0.00527675;-490310892211111;0.1875;0
0.00526525;-490310905557135;0.1875;0
0.0052215;-490310917887470;0.1875;15625000
0.00526825;-490310931703159;0.1875;0
0.005282;-490310948201356;0.1875;15625000
